dataset_id,dataset_name,category,expected_subpath,glob,required_for,source_url,license,notes
ntca_census,NTCA All India Tiger Estimation (5 rounds),population,ntca,*.xlsx;*.pdf,growth,https://ntca.gov.in,Govt of India,Reserve-level figures for all reserves must be extracted from these PDFs/Excel
research_karnataka,Singh & Sen 2015 (Karnataka 2006-2010 gap-fill),population,ntca,*singh*sen*.pdf,growth,https://www.researchgate.net,Research paper,Fills Bandipur/Nagarahole 2006-2010 gap
reserve_boundaries,NTCA DSS PA/TR/corridor boundaries (KML),boundaries,ntca/PA_TR_Corridor_Final,*.kml,growth;connectivity;sdm,https://ntca.gov.in/dss/,Govt of India attribution,PRIMARY boundary + corridor source per Decision 4. Geometry = core PA extent (NOT legal TR total); area/density use NTCA census total instead. Covers 55/58 by name; 3 gaps + 2 false matches fixed in Week 3
kba_boundaries,KBA Global protected areas (assessed not selected),boundaries,wdpa,*.shp,none,https://www.keybiodiversityareas.org,Non-commercial attribution,Assessed in Week 2 (Decision 4): 51/58 coverage with same core-PA area limit as KML but no corridors. Not selected. Kept for reference only
wdpa_intl,WDPA India (international designations only — unusable),boundaries,wdpa,*IND*.gdb;*IND*.shp,none,https://www.protectedplanet.net/country/IND,Non-commercial attribution,Rejected in Week 2 (Decision 4): India shares zero national PAs with WDPA (Ramsar/WHS only). Cannot supply reserve boundaries. Row kept so the rejection is not re-litigated
gbif_occ,GBIF Panthera tigris occurrence records,occurrences,gbif,*.zip;*.csv,sdm;effort,https://www.gbif.org,CC BY / CC0,Downloaded via 01 (occ_download zip). DOI 10.15468/dl.npxmxx. 4606 records inside India. Clipped points in data/interim/occ_tiger_gbif_raw_7755.gpkg
gbif_effort,GBIF Mammalia target-group background,occurrences,gbif_background,*.zip;*.csv,sdm;effort,https://www.gbif.org,CC BY / CC0,Mammalia only (not all vertebrates) per Decision 5. 2006-2022. DOI 10.15468/dl.2d523e. 39057 points inside India. Clipped points in data/interim/effort_background_tgs_7755.gpkg
worldcover,ESA WorldCover 2021 v200 land cover,covariates,worldcover,*.tif,connectivity;sdm,https://esa-worldcover.org,CC BY 4.0,10m COGs windowed-read via 01; 88 tiles -> 1km modal. Output data/interim/cov_landcover_worldcover2021_1km_7755.tif. Per-tile 1km cache in worldcover/tiles_1km/
srtm,Terrain (elevation/slope/TRI) via AWS tiles,covariates,terrain,*.tif,sdm;connectivity,https://registry.opendata.aws/terrain-tiles/,Public domain,elevatr AWS terrain z7 (~1km); slope+TRI derived on native DEM. Raw dem_india_aws_z7_4326.tif; 3-band output data/interim/cov_terrain_1km_7755.tif
ghm,Global Human Modification index,covariates,ghm,*stamp*.txt;*.tif,connectivity;sdm,https://doi.org/10.5281/zenodo.14502573,CC BY 4.0,Theobald 2024/2025 v3 2022 static all-threats (HMv20240801_2022s_AA_300.tif). Windowed /vsicurl read leaves no raw tif; PRESENT = source stamp written. 1km output in data/interim/cov_ghm2022_1km_7755.tif
osm_roads,OpenStreetMap roads (India),infrastructure,osm,*roads_major*.gpkg;*.gpkg,connectivity,https://download.geofabrik.de/asia/india.html,ODbL,Geofabrik India via osmextract; major classes motorway-tertiary +links (885669 features; tertiary-dominated). Output osm_roads_major_7755.gpkg. Cache geofabrik_cache/ (~1.5GB pbf gitignored)
osm_settlements,OpenStreetMap settlements (India),infrastructure,osm,*settlements*.gpkg,connectivity,https://download.geofabrik.de/asia/india.html,ODbL,Geofabrik India via osmextract; city/town/village points (199800; village-dominated). Output osm_settlements_7755.gpkg. Consider trimming to city/town for KDE (Week 8-9)
isfr_forest,ISFR 2021 Chapter 4 forest + corridors,forest,forest,*.xlsx;*.pdf,connectivity,https://fsi.nic.in,Govt of India,13 documented corridors + per-reserve VDF/MDF/OF; already tabular from Phase 1
admin_boundaries,India admin boundaries (states/districts),administrative,administrative,*boundary_*.gpkg;*.shp,growth;connectivity,https://www.naturalearthdata.com,Public domain / CC BY 4.0,States=Natural Earth admin-1 (scripted); districts=DataMeet Census-2011 (scripted from raw.githubusercontent). Districts pre-redistricting vintage. Outputs boundary_states_ne_7755.gpkg + boundary_districts_datameet2011_7755.gpkg
